RESULTADOS DE LA FORMACIÓN - ASIGNATURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURSO,TITULACIÓN,COD. TITULACIÓN,ID,ASIGNATURA,ESTUD. MATRICULADOS,CRÉDITOS ASIG.,CRÉDITOS MATRICULADOS,CRÉD. MATRI. 1ª VEZ,CRÉD. MATRI. 2ª VEZ,CRÉD. MATRI. 3ª VEZ,CRÉDITOS PRESENTADOS,CRÉDITOS SUPERADOS,CRÉDITOS RECONOCIDOS,TASA EVALUACIÓN,VAR. % TASA EVAL.,TASA ÉXITO,VAR. % TASA ÉXIT.,TASA ÉXITO EXÁM. REALIZ.,VAR. % ÉXITO EXÁM.,TASA RENDIMIENTO,VAR. % TASA REND.,TASA RECONCIMIENTO,NOTA MEDIA,% SUSPENSOS,% APROBADOS,% NOTABLES,% SOBRESALIENTES,% MATRÍCULAS H.,Nº EXÁM. REALIZADOS,Nº EXÁM. APTOS,% ESTUD. 0 EXÁM.,% ESTUD. 1 EXÁM.,% ESTUD. 2 EXÁM.,% ESTUD. 3 EXÁM.,% ESTUD. 4 EXÁM.,% ESTUD. 5 EXÁM.,Nº EXÁM. REALIZADOS 1PPF,Nº EXÁM. APTOS 1PPF,Nº EXÁM. REALIZADOS 2PPJ,Nº EXÁM. APTOS 2PPJ,Nº EXÁM. REALIZADOS 1PPS,Nº EXÁM. APTOS 1PPS,Nº EXÁM. REALIZADOS 2PPS,Nº EXÁM. APTOS 2PPS,Nº EXÁM. REALIZADOS DIC,Nº EXÁM. APTOS DIC,% ÉXITO 1PPF,% ÉXITO 2PPJ,% ÉXITO 1PPS,% ÉXITO 2PPS,% ÉXITO DIC.,RATIO EXÁM. ESTUD.,FECHA DESCARGA EXCEL,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024049,GEOMETRÍA DIFERENCIAL,0,5,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61023067,GEOMETRÍA DIFERENCIAL DE CURVAS Y SUPERFICIES,45,6,270,270,0,0,114,96,300,"42,22","23,7","84,21","2,25","59,26","3,84","35,56","26,5","52,63","7,64","15,79","42,11","15,79","15,79","10,53",27,16,"53,33","33,33","13,33",0,0,0,0,0,18,10,0,0,9,6,0,0,,"55,56",,"66,67",,"0,60",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61022010,GEOMETRÍAS LINEALES,156,6,936,744,192,0,360,276,330,"38,46","12,69","76,67","-6,91","47,92","-16,03","29,49","4,91","26,07","6,91","23,33",45,"16,67",5,10,96,46,"49,36","39,74","10,90",0,0,0,66,30,0,0,30,16,0,0,0,0,"45,45",,"53,33",,,"0,62",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61022056,HERRAMIENTAS INFORMÁTICAS PARA MATEMÁTICAS,127,6,762,660,102,0,384,354,564,"50,39","47,64","92,19","11,94","72,84","27,63","46,46","65,28","42,53","7,82","7,81","18,75","48,44","15,63","9,38",81,59,"40,16","55,91","3,94",0,0,0,70,53,0,0,11,6,0,0,0,0,"75,71",,"54,55",,,"0,64",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024109,HISTORIA DE LAS MATEMÁTICAS,0,5,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61023104,INFERENCIA ESTADÍSTICA (MATEMÁTICAS),41,6,246,246,0,0,90,60,426,"36,59","7,21","66,67","-19,05",50,"-12,39","24,39","-13,23","63,39","7,60","33,33","33,33","13,33","13,33","6,67",20,10,"60,98","29,27","9,76",0,0,0,0,0,12,7,0,0,8,3,0,0,,"58,33",,"37,50",,"0,49",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024150,INGLÉS CIENTÍFICO,0,5,0,0,0,0,0,0,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,6102401-,INTEGRAL DE LEBESGUE,0,5,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024084,INTRODUCCIÓN A LA ASTRONOMÍA,0,5,0,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61023021,INTRODUCCIÓN A LAS ECUACIONES DIFERENCIALES,52,6,312,312,0,0,192,192,672,"61,54","80,31",100,"21,42","82,05","43,77","61,54","118,93","68,29","7,79",0,"46,88","18,75","18,75","15,63",39,32,"32,69","59,62","7,69",0,0,0,35,28,0,0,4,4,0,0,0,0,80,,100,,,"0,75",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61023044,INTRODUCCIÓN A LOS ESPACIOS DE HILBERT,35,6,210,210,0,0,102,96,468,"48,57","42,31","94,12","14,28",80,"40,18","45,71","62,61","69,03","7,07","5,88","41,18","29,41","5,88","17,65",20,16,"45,71","51,43","2,86",0,0,0,13,10,0,0,7,6,0,0,0,0,"76,92",,"85,71",,,"0,57",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021039,"LENGUAJE MATEMÁTICO, CONJUNTOS Y NÚMEROS",526,6,3156,2382,624,150,1050,882,666,"33,27","-2,52",84,"1,99","57,20",",23","27,95","-,57","17,43","6,62",16,52,20,"8,57","3,43",257,147,"56,74","37,76","5,50",0,0,0,199,117,0,0,58,30,0,0,0,0,"58,79",,"51,72",,,"0,49",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,6102210-,LENGUAJES DE PROGRAMACIÓN,154,6,924,750,174,0,384,354,660,"41,56","21,77","92,19","11,94","80,82","41,62","38,31","36,29","41,67","8,38","7,81","3,13","42,19","39,06","7,81",73,59,"56,49","39,61","3,90",0,0,0,0,0,53,44,0,0,20,15,0,0,,"83,02",,75,,"0,47",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024144,LÓGICA MATEMÁTICA,0,5,0,0,0,0,0,0,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021051,MATEMÁTICA DISCRETA,396,6,2376,1746,540,90,816,660,774,"34,34",",62","80,88","-1,8","49,11","-13,95","27,78","-1,17","24,57","6,77","19,12","46,32","19,12","6,62","8,82",224,110,"52,27","38,89","8,84",0,0,0,178,90,0,0,46,20,0,0,0,0,"50,56",,"43,48",,,"0,57",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61023096,MODELIZACIÓN,36,6,216,216,0,0,126,126,576,"58,33","70,91",100,"21,42","91,30","59,98","58,33","107,51","72,73","7,85",0,"9,52","61,90","19,05","9,52",23,21,"41,67","52,78","5,56",0,0,0,0,0,17,15,0,0,6,6,0,0,,"88,24",,100,,"0,64",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024115,MODELOS DE REGRESIÓN,0,5,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024061,MODELOS ESTOCÁSTICOS,0,5,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024055,PROCESOS ESTOCÁSTICOS,0,5,0,0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61022062,PROGRAMACIÓN LINEAL Y ENTERA,231,6,1386,1056,330,0,510,450,162,"36,80","7,82","88,24","7,14","70,75","23,97","32,47","15,51","10,47","6,33","11,76","58,82","23,53","4,71","1,18",106,75,"60,61","32,90","6,49",0,0,0,0,0,66,45,0,0,40,30,0,0,,"68,18",,75,,"0,46",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,6102308-,RESOLUCIÓN NUMÉRICA DE ECUACIONES,28,6,168,168,0,0,120,102,426,"71,43","109,29",85,"3,21",85,"48,94","60,71","115,97","71,72","8,52",15,20,20,40,5,20,17,"28,57","71,43",0,0,0,0,0,0,14,14,0,0,6,3,0,0,,100,,50,,"0,71",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61044098,SISTEMAS DINÁMICOS,0,5,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024121,TEORÍA DE JUEGOS (MATEMÁTICAS),0,5,0,0,0,0,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024078,TEORÍA DE LA DECISIÓN,0,5,0,0,0,0,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024138,TEORÍA DE MUESTRAS,0,5,0,0,0,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61023015,TOPOLOGÍA,57,6,342,342,0,0,138,138,264,"40,35","18,22",100,"21,42","79,31","38,97","40,35","43,54","43,56","8,58",0,"8,70","39,13","34,78","17,39",29,23,"50,88","47,37","1,75",0,0,0,23,17,0,0,6,6,0,0,0,0,"73,91",,100,,,"0,51",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61022079,VARIABLE COMPLEJA,169,6,1014,828,186,0,402,384,264,"39,64","16,14","95,52","15,98","75,29","31,93","37,87","34,72","20,66","7,48","4,48","35,82","23,88","32,84","2,99",85,64,"56,21","37,28","6,51",0,0,0,0,0,59,41,0,0,26,23,0,0,,"69,49",,"88,46",,"0,50",16/09/2016 0:33:17,
