RESULTADOS DE LA FORMACIÓN - ASIGNATURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURSO,TITULACIÓN,COD. TITULACIÓN,ID,ASIGNATURA,ESTUD. MATRICULADOS,CRÉDITOS ASIG.,CRÉDITOS MATRICULADOS,CRÉD. MATRI. 1ª VEZ,CRÉD. MATRI. 2ª VEZ,CRÉD. MATRI. 3ª VEZ,CRÉDITOS PRESENTADOS,CRÉDITOS SUPERADOS,CRÉDITOS RECONOCIDOS,TASA EVALUACIÓN,VAR. % TASA EVAL.,TASA ÉXITO,VAR. % TASA ÉXIT.,TASA ÉXITO EXÁM. REALIZ.,VAR. % ÉXITO EXÁM.,TASA RENDIMIENTO,VAR. % TASA REND.,TASA RECONCIMIENTO,NOTA MEDIA,% SUSPENSOS,% APROBADOS,% NOTABLES,% SOBRESALIENTES,% MATRÍCULAS H.,Nº EXÁM. REALIZADOS,Nº EXÁM. APTOS,% ESTUD. 0 EXÁM.,% ESTUD. 1 EXÁM.,% ESTUD. 2 EXÁM.,% ESTUD. 3 EXÁM.,% ESTUD. 4 EXÁM.,% ESTUD. 5 EXÁM.,Nº EXÁM. REALIZADOS 1PPF,Nº EXÁM. APTOS 1PPF,Nº EXÁM. REALIZADOS 2PPJ,Nº EXÁM. APTOS 2PPJ,Nº EXÁM. REALIZADOS 1PPS,Nº EXÁM. APTOS 1PPS,Nº EXÁM. REALIZADOS 2PPS,Nº EXÁM. APTOS 2PPS,Nº EXÁM. REALIZADOS DIC,Nº EXÁM. APTOS DIC,% ÉXITO 1PPF,% ÉXITO 2PPJ,% ÉXITO 1PPS,% ÉXITO 2PPS,% ÉXITO DIC.,RATIO EXÁM. ESTUD.,FECHA DESCARGA EXCEL,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61022010,GEOMETRÍAS LINEALES,95,6,570,570,0,0,156,126,210,"27,37","1,26","80,77","1,25","65,63","24,94","22,11","2,55","26,92","7,49","19,23","42,31","15,38","3,85","19,23",32,21,"69,47","27,37","3,16",0,0,0,18,12,0,0,14,9,0,0,0,0,"66,67",,"64,29",,,"0,34",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61022056,HERRAMIENTAS INFORMÁTICAS PARA MATEMÁTICAS,121,6,726,726,0,0,312,312,516,"42,98","59,01",100,"25,36","73,24","39,43","42,98","99,35","41,55","7,95",0,"13,46","63,46","19,23","3,85",71,52,"46,28","48,76","4,96",0,0,0,62,43,0,0,9,9,0,0,0,0,"69,35",,100,,,"0,59",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61024109,HISTORIA DE LAS MATEMÁTICAS,0,5,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61023104,INFERENCIA ESTADÍSTICA (MATEMÁTICAS),0,6,0,0,0,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61024150,INGLÉS CIENTÍFICO,0,5,0,0,0,0,0,0,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,6102401-,INTEGRAL DE LEBESGUE,0,5,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61024084,INTRODUCCIÓN A LA ASTRONOMÍA,0,5,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61023021,INTRODUCCIÓN A LAS ECUACIONES DIFERENCIALES,0,6,0,0,0,0,0,0,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61023044,INTRODUCCIÓN A LOS ESPACIOS DE HILBERT,0,6,0,0,0,0,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61021039,"LENGUAJE MATEMÁTICO, CONJUNTOS Y NÚMEROS",616,6,3696,3078,618,0,996,762,198,"26,95","-,3","76,51","-4,09","45,85","-12,72","20,62","-4,36","5,08","6,51","23,49",50,"20,48","3,01","3,01",277,127,"61,43","32,25","6,32",0,0,0,202,91,0,0,75,36,0,0,0,0,"45,05",,48,,,"0,45",16/09/2016 0:36:24,
